K74,070106644,7,Day,T-203TH,123000-5440C101,2019-12-13 09:29:52,4,BRC00749,BRC00752,FA-6,20191213070106644,86120-0KA20-00,HEAD UNIT,4-170209105004.jpg,Printed,,4,
K72,070106645,7,Day,T-201TH,123000-5420C101,2019-12-13 09:35:22,4,BRC03345,BRC03348,FA-6,20191213070106645,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K72,070106646,7,Day,T-201TH,123000-5420C101,2019-12-13 09:40:53,4,BRC03349,BRC03352,FA-6,20191213070106646,86120-0KA00-00,HEAD UNIT,2-170209104532.jpg,Printed,,4,
K74,070106647,7,Day,T-203TH,123000-5440C101,2019-12-13 09:46:49,4,BRC00753,BRC00756,FA-6,20191213070106647,86120-0KA20-00,HEAD UNIT,4-170209105004.jpg,Printed,,4,
K74,070106648,7,Day,T-203TH,123000-5440C101,2019-12-13 09:52:22,4,BRC00757,BRC00760,FA-6,20191213070106648,86120-0KA20-00,HEAD UNIT,4-170209105004.jpg,Printed,,4,
K74,070106649,7,Day,T-203TH,123000-5440C101,2019-12-13 09:58:14,4,BRC00761,BRC00764,FA-6,20191213070106649,86120-0KA20-00,HEAD UNIT,4-170209105004.jpg,Printed,,4,
K74,070106650,7,Day,T-203TH,123000-5440C101,2019-12-13 10:04:18,4,BRC00765,BRC00768,FA-6,20191213070106650,86120-0KA20-00,HEAD UNIT,4-170209105004.jpg,Printed,,4,
K74,070106651,7,Day,T-203TH,123000-5440C101,2019-12-13 10:20:15,4,BRC00769,BRC00772,FA-6,20191213070106651,86120-0KA20-00,HEAD UNIT,4-170209105004.jpg,Printed,,4,
02285,070106653,7,Day,T-396JP,123000-7360J101,2019-12-13 11:09:18,2,BRC00141,BRC00142,FA-6,20191213070106653,-,-,276-190607163245.jpg,Printed,,2,
02285,070106654,7,Day,T-396JP,123000-7360J101,2019-12-13 11:14:53,2,BRC00143,BRC00144,FA-6,20191213070106654,-,-,276-190607163245.jpg,Printed,,2,
02285,070106655,7,Day,T-396JP,123000-7360J101,2019-12-13 11:17:41,2,BRC00145,BRC00146,FA-6,20191213070106655,-,-,276-190607163245.jpg,Printed,,2,
02285,070106656,7,Day,T-396JP,123000-7360J101,2019-12-13 11:22:19,2,BRC00147,BRC00148,FA-6,20191213070106656,-,-,276-190607163245.jpg,Printed,,2,
02285,070106657,7,Day,T-396JP,123000-7360J101,2019-12-13 11:26:18,2,BRC00149,BRC00150,FA-6,20191213070106657,-,-,276-190607163245.jpg,Printed,,2,
02287,070106658,7,Day,T-363JP,123000-7160F101,2019-12-13 11:29:29,2,BRC00421,BRC00422,FA-6,20191213070106658,-,-,278-190607163442.jpg,Printed,,2,
02287,070106659,7,Day,T-363JP,123000-7160F101,2019-12-13 11:32:40,2,BRC00423,BRC00424,FA-6,20191213070106659,-,-,278-190607163442.jpg,Printed,,2,
02287,070106660,7,Day,T-363JP,123000-7160F101,2019-12-13 11:36:06,2,BRC00425,BRC00426,FA-6,20191213070106660,-,-,278-190607163442.jpg,Printed,,2,
02287,070106661,7,Day,T-363JP,123000-7160F101,2019-12-13 11:39:16,2,BRC00427,BRC00428,FA-6,20191213070106661,-,-,278-190607163442.jpg,Printed,,2,
02287,070106662,7,Day,T-363JP,123000-7160F101,2019-12-13 11:42:39,2,BRC00429,BRC00430,FA-6,20191213070106662,-,-,278-190607163442.jpg,Printed,,2,
02287,070106663,7,Day,T-363JP,123000-7160F101,2019-12-13 11:45:56,2,BRC00431,BRC00432,FA-6,20191213070106663,-,-,278-190607163442.jpg,Printed,,2,
02287,070106664,7,Day,T-363JP,123000-7160F101,2019-12-13 11:49:08,2,BRC00433,BRC00434,FA-6,20191213070106664,-,-,278-190607163442.jpg,Printed,,2,
02287,070106665,7,Day,T-363JP,123000-7160F101,2019-12-13 11:52:15,2,BRC00435,BRC00436,FA-6,20191213070106665,-,-,278-190607163442.jpg,Printed,,2,
02287,070106666,7,Day,T-363JP,123000-7160F101,2019-12-13 11:55:32,2,BRC00437,BRC00438,FA-6,20191213070106666,-,-,278-190607163442.jpg,Printed,,2,
02287,070106667,7,Day,T-363JP,123000-7160F101,2019-12-13 12:00:27,2,BRC00439,BRC00440,FA-6,20191213070106667,-,-,278-190607163442.jpg,Printed,,2,
02287,070106668,7,Day,T-363JP,123000-7160F101,2019-12-13 12:03:07,2,BRC00441,BRC00442,FA-6,20191213070106668,-,-,278-190607163442.jpg,Printed,,2,
02287,070106669,7,Day,T-363JP,123000-7160F101,2019-12-13 12:06:14,2,BRC00443,BRC00444,FA-6,20191213070106669,-,-,278-190607163442.jpg,Printed,,2,
02287,070106670,7,Day,T-363JP,123000-7160F101,2019-12-13 12:09:34,2,BRC00445,BRC00446,FA-6,20191213070106670,-,-,278-190607163442.jpg,Printed,,2,
02289,070106671,7,Day,T-365JP,123000-7180F101,2019-12-13 12:13:30,2,BRC00127,BRC00128,FA-6,20191213070106671,-,-,279-190607163543.jpg,Printed,,2,
02289,070106672,7,Day,T-365JP,123000-7180F101,2019-12-13 12:16:33,2,BRC00129,BRC00130,FA-6,20191213070106672,-,-,279-190607163543.jpg,Printed,,2,
